"gene"	"mRNA len"	"genomic span"	"DC_normal"	"DC_treated"	"DC0904"	"DC0907"	"DCLPS0910"	"DCLPS0913"	"A_DC"	"A_DC_LPS"	"B_DC"	"B_DC_LPS"	"C_DC"	"C_DC_LPS"	"C2DC"	"C2DCLPS"	"C3DC"	"C3DCLPS"
"AL832797"	2444	2563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AL832834"	2412	6881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1
"AL832909"	2235	2235	435	350	244	191	346	4	199	346	277	265	3492	4743	3604	2646	3869	2564
"AL833139"	1742	40856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AL833146"	2089	17953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AL833150"	1568	1568	39	11	18	21	0	11	43	36	0	0	69	54	0	0	20	0
"AL833181"	3719	3719	1987	2578	1885	102	1394	1184	0	1805	392	0	0	0	3	42	0	7
"AL833246"	4407	29949	0	0	0	0	0	0	67	11	0	20	0	0	0	0	3	0
"AL833346"	3390	3390	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0
"AL833363"	4126	4200	161	61	92	69	27	34	142	66	75	78	35	19	59	29	44	31
"AL833455"	3940	3940	252	177	180	72	94	83	151	37	0	0	0	1883	0	1	0	957
"AL833509"	3847	7565	613	214	344	269	62	152	478	191	82	711	273	821	117	73	164	71
"AL833583"	5019	115634	48	6	35	13	4	2	399	83	0	0	0	0	61	28	19	7
"AL833634"	1886	4131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AL953854.2-002"	2648	16796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ALAD"	3360	15027	217	9	164	53	9	0	69	34	68	0	1363	1331	1571	1337	2054	1425
"ALAS1"	2447	16229	481	428	270	211	222	206	338	504	242	533	1630	2520	2435	3789	2790	2408
"ALAS2"	2037	22010	0	0	0	0	0	0	12	0	0	0	1040	714	0	0	0	0
"ALB"	2260	17157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ALCAM"	4756	210032	40053	277632	22201	17852	150365	127267	10530	122638	8179	114194	5672	8185	8198	9510	6750	6336
"ALDH1"	1490	24942	0	0	0	0	0	0	0	0	0	0	112	96	293	321	315	227
"ALDH16A1"	3122	17833	444	97	225	219	65	32	392	91	255	10	1398	859	799	760	1086	753
"ALDH18A1"	3480	50882	0	0	0	0	0	0	0	0	0	0	80	84	121	115	125	93
"ALDH1A1"	2108	52383	1	0	1	0	0	0	0	0	0	0	144	121	382	499	412	316
"ALDH1A2"	3493	112280	2165	12528	1159	1006	6794	5734	1247	6837	271	10374	5978	8583	11209	19843	5379	9291
"ALDH1A3"	3506	36821	352	10	209	143	0	10	335	112	0	7	62	24	33	0	133	6
"ALDH1B1"	3024	5955	0	0	0	0	0	0	11	54	0	0	458	730	267	526	227	164
"ALDH1L1"	3148	77079	0	0	0	0	0	0	138	84	0	0	0	0	0	0	0	0
"ALDH1L2"	7560	64779	202	8	88	114	8	0	268	55	0	0	496	422	34	27	391	107
"ALDH2"	2411	43438	96	51	58	38	12	39	177	108	3	101	1314	1525	1920	1690	2431	1552
"ALDH3A1"	2393	6447	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0
"ALDH3A2"	3838	28846	1434	63	782	652	49	14	864	91	481	4	2452	2291	3442	2990	3194	2164
"ALDH3B1"	4991	13152	967	29	508	459	0	29	706	85	689	39	2120	1666	2323	1728	2581	1550
"ALDH3B2"	2659	12470	0	0	0	0	0	0	50	25	0	0	0	0	0	0	0	0
"ALDH4A1"	3396	31369	218	53	135	83	53	0	478	270	47	50	370	273	503	411	600	500
"ALDH5A1"	5180	42239	135	0	96	39	0	0	35	4	0	0	1182	1153	925	792	810	644
"ALDH6A1"	2353	24324	0	0	0	0	0	0	43	0	0	0	138	180	379	290	382	199
"ALDH7A1"	3569	52166	0	0	0	0	0	0	0	0	0	0	6	0	17	20	54	41
"ALDH8A1"	2548	32717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ALDH9A1"	2511	36453	378	32	212	166	18	14	248	79	100	28	1833	1764	2079	1860	2224	1386
"ALDOA"	2436	17264	1132	906	645	487	449	457	555	513	832	792	20243	18273	23197	27040	30245	24232
"ALDOB"	2435	15222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ALDOC"	1659	3819	113	0	61	52	0	0	536	37	0	3	156	134	76	49	112	90
"ALG-2"	860	1748	382	74	274	108	35	39	40	139	253	72	86	90	136	91	160	103
"ALG1"	4930	53677	517	28	274	243	28	0	770	105	175	10	1388	716	1086	1216	1433	1309
"ALG10"	11259	12960	35	0	35	0	0	0	77	0	0	0	327	319	253	118	262	84
"ALG10B"	10076	12972	35	0	35	0	0	0	40	0	0	0	215	203	130	41	174	22
"ALG11"	6496	21186	521	29	313	208	25	4	360	54	16	37	1417	1684	1289	844	1574	966
"ALG12"	2381	15252	302	73	139	163	44	29	292	158	11	68	117	91	397	284	409	329
"ALG13"	3904	79179	5717	3989	3086	2631	2265	1724	3237	1914	2019	2758	764	1160	834	917	1228	904
"ALG14"	1061	90230	20	0	11	9	0	0	129	0	0	0	159	67	191	179	218	177
"ALG1L"	811	7766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ALG1L2"	976	16560	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
"ALG2"	2991	5540	323	255	199	124	116	139	190	221	0	174	1573	2065	1489	1903	1832	1343
"ALG3"	1615	7198	36	0	21	15	0	0	55	13	0	0	428	312	703	504	715	483
"ALG5"	1358	49596	365	28	216	149	21	7	230	90	0	28	438	449	600	563	664	514
"ALG6"	3391	70973	15	24	0	15	15	9	140	8	0	16	242	316	178	172	211	137
"ALG8"	1757	38713	1021	131	561	460	89	42	481	109	268	113	587	749	669	781	823	693
"ALG9"	7053	97235	27	0	19	8	0	0	153	0	15	15	384	380	407	242	425	260
"ALK"	6248	728793	417	0	251	166	0	0	374	58	178	64	0	0	0	0	0	0
"ALKBH1"	2591	35609	352	170	170	182	93	77	273	378	0	365	282	357	317	259	344	206
"ALKBH2"	1201	5302	0	0	0	0	0	0	27	0	0	0	38	24	73	36	112	45
"ALKBH3"	1579	39470	467	59	253	214	20	39	441	14	9	0	331	428	325	267	381	278
"ALKBH4"	2061	8593	14	0	7	7	0	0	132	27	0	0	227	59	169	20	182	49
"ALKBH5"	3435	26400	1421	214	766	655	103	111	701	100	523	118	2697	1905	2556	1603	3749	2378
"ALKBH6"	1035	3951	85	4	23	62	0	4	136	40	0	8	128	152	190	116	261	156
"ALKBH7"	1114	2598	5	0	5	0	0	0	35	21	0	0	377	391	657	599	879	613
"ALKBH8"	4078	63009	69	0	49	20	0	0	69	15	0	0	244	228	236	152	240	85
"ALLC"	1871	8049	0	0	0	0	0	0	86	25	0	0	0	0	0	0	0	0
"ALMS1"	12945	224162	4528	3160	2472	2056	1708	1452	2963	1619	319	819	1240	1806	971	996	1558	823
"ALMS1P"	1597	40648	0	10	0	0	10	0	0	1	0	0	1	2	0	0	4	0
"ALOX12"	2371	14672	1272	973	636	636	554	419	460	441	797	1630	288	204	369	330	545	185
"ALOX12B"	2517	15069	0	0	0	0	0	0	90	41	0	0	0	0	0	0	0	0
"ALOX12E"	2781	46774	0	0	0	0	0	0	39	18	0	0	0	0	0	0	0	0
"ALOX15"	2844	11011	22074	15341	2049	20025	8272	7069	18700	4482	44947	15345	24482	41932	120514	117764	116648	75780
"ALOX15B"	3008	10086	0	10	0	0	5	5	74	39	0	5	42	55	117	234	98	113
"ALOX5"	2564	71934	42	17	29	13	0	17	194	69	14	0	254	274	688	693	631	319
"ALOX5AP"	1224	50943	24	185	24	0	129	56	34	78	10	437	370	534	378	393	837	566
"ALOXE3"	3376	22590	0	0	0	0	0	0	168	77	0	0	0	0	0	0	0	0
"ALPI"	2571	3840	0	0	0	0	0	0	26	30	0	0	0	0	0	0	0	0
"ALPK1"	5736	60209	8365	5391	4590	3775	3020	2371	4129	2458	2258	3861	1183	1549	1166	913	1199	870
"ALPK2"	7311	147707	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0
"ALPK3"	10929	56802	0	0	0	0	0	0	102	45	0	15	0	0	0	0	0	1
"ALPL"	2607	69048	7	2	5	2	0	2	125	37	0	0	0	0	0	0	0	0
"ALPP"	2876	4251	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
"ALPPL2"	2503	3872	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
"ALS2"	6951	80910	254	104	125	129	74	30	388	69	66	97	478	544	808	622	841	488
"ALS2CL"	5033	24494	0	0	0	0	0	0	153	110	0	0	0	0	0	0	0	0
"ALS2CR10"	1048	17505	11471	93805	6844	4627	50514	43291	1447	50815	4045	84688	642	54903	356	5287	527	3157
"ALS2CR11"	5705	131746	0	0	0	0	0	0	12	0	0	0	0	1	0	0	0	0
"ALS2CR12"	2123	68955	138	26	85	53	22	4	104	63	0	0	0	40	14	7	4	0
"ALS2CR16"	982	47611	60	630	25	35	361	269	57	420	21	259	9	37	20	36	12	12
"ALS2CR17"	923	17742	19	15	0	19	6	9	26	12	0	0	344	476	290	213	321	50
"ALS2CR4"	5406	23319	0	0	0	0	0	0	0	0	0	0	4	34	13	86	4	31
"ALS2CR5"	4968	53821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ALS2CR7"	675	38752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ALS2CR8"	5946	73945	48	0	11	37	0	0	112	6	16	0	180	204	233	106	206	91
"ALX1"	1295	21525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ALX3"	1481	10326	58	0	38	20	0	0	102	33	0	0	158	129	161	80	197	90
"ALX4"	1589	45559	0	0	0	0	0	0	79	45	0	0	0	0	0	0	1	0
"AM413008"	136	136	0	0	0	0	0	0	0	0	0	0	0	22	19	11	43	6
"AMAC1"	1875	1875	35	8	15	20	3	5	3	0	0	0	0	0	0	0	0	0
"AMAC1L2"	1202	1202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AMAC1L3"	1197	1664	26	0	12	14	0	0	0	0	0	0	0	0	0	0	0	0
"AMACR"	2528	20302	0	0	0	0	0	0	22	0	0	0	63	129	209	131	291	142
"AMBN"	1987	15003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AMBP"	1441	18344	0	0	0	0	0	0	72	32	0	0	0	0	0	0	0	0
"AMBRA1"	5311	194952	5770	2564	3263	2507	1463	1101	3434	2578	1412	3914	4366	4144	3150	2934	4733	3171
"AMD1"	3430	20928	2796	4439	1498	1298	2438	2001	1672	3821	638	5925	3648	6346	4101	6238	4880	3999
"AMDHD1"	2144	25300	0	0	0	0	0	0	0	0	0	0	15	8	21	19	0	0
"AMDHD2"	2087	10593	2185	750	1171	1014	388	362	856	450	2046	1265	612	432	1662	928	1985	923
"AMELX"	841	7349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AMELY"	807	8110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AMFR"	3607	64081	2468	195	1492	976	83	112	1231	191	974	167	3025	2675	2908	2523	3887	2652
"AMH"	2023	2961	1	0	1	0	0	0	0	14	0	0	0	1	0	0	0	0
"AMHR2"	1866	7673	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0
"AMICA1"	2450	28361	10376	3318	5560	4816	1904	1414	4224	937	3665	1377	13839	11728	8994	6784	12631	5793
"AMIGO1"	2472	2891	0	0	0	0	0	0	0	0	0	0	63	4	42	0	50	5
"AMIGO2"	3958	4245	0	0	0	0	0	0	0	0	0	0	2	14	0	0	0	0
"AMIGO3"	2972	2972	319	0	172	147	0	0	119	20	248	75	573	555	165	81	215	139
"AML1"	542	8696	8267	5879	12	8255	2743	3136	7170	1796	5207	1800	54	68	0	11	135	2
"AML2"	437	35536	23	0	23	0	0	0	282	170	0	11	0	0	21	17	48	0
"AMMECR1"	5608	246045	575	59	353	222	27	32	813	74	0	36	248	339	239	282	280	138
"AMMECR1L"	4679	24307	426	242	260	166	120	122	158	249	0	284	516	722	794	191	249	548
"AMN"	2280	7921	2	0	0	2	0	0	40	16	3	36	0	0	0	0	0	0
"AMN1"	2115	58037	11	0	11	0	0	0	10	8	53	0	23	23	15	18	10	5
"AMOT"	6973	48268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AMOTL1"	9011	108411	0	0	0	0	0	0	0	0	0	0	4	3	0	0	4	3
"AMOTL2"	4998	20071	0	0	0	0	0	0	12	14	0	0	0	0	0	0	0	0
"AMPD1"	2357	22456	0	0	0	0	0	0	10	10	0	0	0	1	0	0	0	0
"AMPD2"	4104	12220	2950	4434	1646	1304	2378	2056	834	2982	2216	7735	3111	4654	4342	7416	5460	5555
"AMPD3"	4488	51647	1060	518	539	521	325	193	454	342	343	395	604	606	703	701	826	585
"AMPH"	3290	247715	728	0	421	307	0	0	299	0	42	0	33	0	0	0	0	2
"AMPK beta 2"	5261	17444	297	0	176	121	0	0	180	22	0	28	558	370	549	276	667	181
"AMT"	2111	5802	304	27	167	137	17	10	204	49	83	46	38	61	90	64	316	101
"AMTN"	1005	14163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AMY1A"	1792	9035	0	0	0	0	0	0	0	0	0	0	0	0	22	19	60	31
"AMY1B"	1872	8872	0	0	0	0	0	0	0	0	0	0	0	0	22	19	60	31
"AMY1C"	1873	8874	0	0	0	0	0	0	0	0	0	0	0	0	22	19	46	31
"AMY2A"	1635	8396	0	0	0	0	0	0	0	0	0	0	0	0	20	8	54	28
"AMY2B"	3615	26253	616	308	333	283	178	130	392	105	0	160	477	299	443	244	678	309
"AMZ1"	4422	35908	92	64	57	35	18	46	235	238	0	0	6	4	0	0	44	10
"AMZ2"	2272	7966	196	0	90	106	0	0	178	13	18	0	784	765	979	731	1223	652
"ANAPC1"	6357	115102	151	28	107	44	28	0	277	26	18	48	664	715	1068	909	1167	763
"ANAPC10"	930	103029	2068	4137	1062	1006	2344	1793	1232	1730	133	845	100	165	155	90	61	76
"ANAPC11"	1134	8766	35	0	18	17	0	0	113	65	0	137	511	489	768	679	814	657
"ANAPC13"	1210	8318	0	0	0	0	0	0	72	0	0	0	927	121	763	526	968	655
"ANAPC2"	2713	13823	1241	685	664	577	314	371	706	762	1080	1488	966	786	989	1406	1489	1499
"ANAPC4"	2700	41273	1071	8	658	413	8	0	656	115	237	56	808	680	830	583	778	485
"ANAPC5"	2836	27478	1762	587	1029	733	325	262	1103	276	1387	428	1814	1946	2368	1839	2811	1942
"ANAPC7"	3056	30832	1663	460	940	723	260	200	692	411	1504	849	1615	1501	1704	1125	2001	965
"ANG"	1222	10009	0	0	0	0	0	0	13	0	0	0	0	15	12	0	32	7
"ANG-3"	1796	43663	5	0	0	5	0	0	105	13	0	0	0	0	3	0	0	0
"ANGEL1"	4119	25697	766	135	377	389	85	50	429	134	376	129	1209	968	790	578	909	471
"ANGEL2"	4698	23297	953	165	460	493	125	40	486	137	106	161	967	779	744	468	806	442
"ANGPT1"	4346	248545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANGPT2"	5274	63609	2211	1262	1189	1022	725	537	1281	623	296	943	10	8	11	14	9	8
"ANGPT4"	1928	43663	5	0	0	5	0	0	105	13	0	0	0	0	3	0	0	0
"ANGPTL1"	3551	21546	20	60	10	10	31	29	0	0	0	32	0	0	0	0	0	0
"ANGPTL2"	3577	35418	60	0	35	25	0	0	178	98	0	40	0	0	0	0	0	0
"ANGPTL3"	2133	7995	545	68	297	248	45	23	243	25	0	0	1	1	0	0	0	0
"ANGPTL4"	1910	10248	10	0	10	0	0	0	85	35	0	1	0	124	0	75	14	3
"ANGPTL5"	2376	25849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANGPTL6"	1863	10414	156	17	79	77	17	0	91	65	58	21	515	391	695	389	783	492
"ANGPTL7"	2242	6641	163	24	85	78	11	13	200	58	38	44	0	0	0	0	0	0
"ANK1"	8520	243537	0	0	0	0	0	0	488	206	0	0	86	19	8	6	39	21
"ANK2"	14287	334111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANK3"	14814	361330	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
"ANKAR"	4379	70190	71	0	54	17	0	0	228	0	0	0	7	36	28	17	40	9
"ANKDD1A"	3125	46940	3494	4129	2151	1343	2225	1904	1538	1617	883	2221	615	4249	653	589	846	570
"ANKFN1"	2443	329173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANKFY1"	8184	100477	4007	1015	2254	1753	584	431	2454	843	1781	656	3058	3064	4505	3038	4973	2926
"ANKH"	8218	166979	4303	1147	2367	1936	609	538	2490	836	952	731	1907	1980	1374	1182	2828	1742
"ANKHD1"	8223	138012	8037	6593	4650	3387	3591	3002	3301	3101	2973	5172	4347	4026	4672	4148	5924	3330
"ANKHD1-EIF4EBP3"	8355	147736	8872	7000	4966	3906	3806	3194	3689	3372	3630	5622	4471	4327	4696	4182	6217	3481
"ANKIB1"	6101	155152	2486	300	1441	1045	155	145	1668	295	218	170	1238	1614	1479	1174	1577	1002
"ANKK1"	2550	12628	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0
"ANKLE1"	3226	6002	1	12	0	1	12	0	33	32	0	0	74	69	19	35	15	10
"ANKLE2"	4471	36199	3781	14212	2021	1760	7587	6625	1399	6958	967	12157	1889	6830	1798	4556	3211	3019
"ANKMY1"	3423	78568	3328	420	1874	1454	191	229	1882	301	1813	424	332	251	300	219	370	148
"ANKMY2"	2509	45987	768	191	417	351	148	43	587	30	22	65	111	356	680	347	787	439
"ANKRA2"	2056	13337	30	0	15	15	0	0	75	0	4	0	434	341	437	246	464	218
"ANKRD1"	1983	9177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANKRD10"	2500	36530	8606	9851	4755	3851	5353	4498	4435	4602	5062	6325	4556	6719	5701	5858	5827	3497
"ANKRD11"	9389	222936	40410	23595	22161	18249	12546	11049	15722	13033	36629	30644	3576	3793	4535	3736	5917	3461
"ANKRD12"	10576	147647	30518	45919	17103	13415	24732	21187	11597	17572	9864	34778	4724	8804	5194	6018	4957	3047
"ANKRD13"	2414	9952	2418	608	1395	1023	322	286	1067	648	987	1392	3199	3197	2958	2697	3718	2381
"ANKRD13A"	3921	40000	2418	608	1395	1023	322	286	1067	648	987	1392	3199	3197	2958	2696	3718	2381
"ANKRD13B"	3187	21253	18	0	9	9	0	0	33	47	0	0	20	10	4	3	20	35
"ANKRD13C"	5679	95733	1824	492	961	863	250	242	1067	244	217	349	959	1143	886	720	933	655
"ANKRD13D"	2646	4412	3240	520	1774	1466	278	242	1163	177	3012	482	1487	763	2031	679	2382	842
"ANKRD16"	2634	28171	0	0	0	0	0	0	29	0	0	0	34	29	15	24	53	27
"ANKRD17"	9408	184001	20821	15057	11708	9113	8251	6806	9059	7566	7967	14298	3391	3289	3866	2708	4845	2508
"ANKRD18B"	3803	25042	271	1332	148	123	749	583	83	354	0	658	36	113	3	99	45	5
"ANKRD19"	2317	28848	75	0	29	46	0	0	153	0	0	12	213	76	44	0	170	7
"ANKRD2"	1458	11385	0	0	0	0	0	0	41	20	0	0	0	0	0	0	0	0
"ANKRD20A1"	3974	43532	0	0	0	0	0	0	59	21	0	0	0	0	0	4	6	0
"ANKRD20A2"	5575	6741	29	0	21	8	0	0	44	6	0	0	3	7	378	350	241	131
"ANKRD20A3"	3977	43560	29	0	21	8	0	0	103	27	0	0	3	7	378	354	246	131
"ANKRD20A4"	3531	43129	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0
"ANKRD20A5"	2060	6274	17	0	12	5	0	0	0	0	0	0	0	0	8	21	0	0
"ANKRD20B"	3692	96147	0	0	0	0	0	0	0	0	0	0	0	0	16	13	22	4
"ANKRD22"	3987	32073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANKRD23"	2590	6108	91	5	54	37	5	0	108	16	9	0	6	0	17	4	19	1
"ANKRD24"	4048	41462	0	5	0	0	4	1	211	103	0	0	0	0	0	0	0	0
"ANKRD26"	6813	96384	107	82	71	36	49	33	165	69	0	44	214	375	205	235	246	145
"ANKRD27"	4482	78197	714	52	369	345	29	23	695	82	227	163	769	1029	928	945	1081	786
"ANKRD28"	6410	130949	27	5029	19	8	2821	2208	10	1017	0	88	137	224	93	118	134	83
"ANKRD29"	2281	62871	0	0	0	0	0	0	11	0	0	0	8	1	0	4	0	0
"ANKRD30A"	4441	106712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANKRD30B"	4653	104500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANKRD32"	3832	77182	61	0	41	20	0	0	96	5	6	0	249	248	202	97	235	146
"ANKRD33"	3413	3648	141	3	71	70	3	0	72	58	27	26	156	153	162	180	264	144
"ANKRD34A"	3616	5141	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
"ANKRD34B"	3733	13525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANKRD34C"	5425	15436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANKRD35"	3377	19319	0	0	0	0	0	0	42	0	0	0	0	3	0	0	0	0
"ANKRD36"	6342	151024	1511	368	940	571	179	189	1747	444	59	223	68	110	235	237	382	211
"ANKRD36B"	6030	85169	1357	209	829	528	81	128	1417	355	385	256	23	72	159	172	287	150
"ANKRD36BL1"	1849	1849	13336	5760	7084	6252	3043	2717	4088	2437	3588	2130	9161	9552	830	483	928	396
"ANKRD37"	1571	3942	145	0	107	38	0	0	113	14	28	0	287	218	236	184	356	227
"ANKRD39"	895	10027	0	0	0	0	0	0	114	19	0	0	63	20	63	47	70	56
"ANKRD40"	4173	14720	375	56	210	165	13	43	225	32	72	51	1291	1280	1245	953	1375	866
"ANKRD42"	3561	20952	168	0	120	48	0	0	134	55	10	25	511	478	273	274	335	212
"ANKRD43"	3457	3457	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0
"ANKRD44"	3712	203514	72462	37919	40357	32105	20590	17329	31889	16507	38340	26673	5425	7333	6272	5560	6882	4337
"ANKRD45"	2677	61528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANKRD46"	3278	38940	273	23	119	154	23	0	334	107	0	109	290	358	346	236	311	216
"ANKRD49"	3022	5589	163	0	93	70	0	0	104	47	0	0	587	416	539	299	598	280
"ANKRD5"	3832	21710	0	0	0	0	0	0	0	0	0	0	3	4	0	5	14	0
"ANKRD50"	8538	48421	479	2956	262	217	1662	1294	247	1495	0	1204	680	994	644	1616	771	855
"ANKRD52"	8683	20553	1765	456	1073	692	235	221	713	311	1037	455	2254	2497	2929	2411	3679	2043
"ANKRD53"	2126	7055	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0
"ANKRD54"	2056	13442	39	0	36	3	0	0	61	54	0	0	382	260	224	129	244	150
"ANKRD55"	2511	133680	0	0	0	0	0	0	0	0	0	0	0	0	6	3	16	0
"ANKRD56"	2921	2921	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
"ANKRD57"	4654	4654	0	0	0	0	0	0	0	0	0	0	339	132	259	70	257	83
"ANKRD58"	1590	1590	0	0	0	0	0	0	17	0	0	0	131	0	253	1	225	20
"ANKRD6"	5520	71284	24	0	24	0	0	0	58	26	0	23	1010	79	183	91	137	136
"ANKRD7"	1362	18072	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
"ANKRD9"	1755	2376	48	0	24	24	0	0	0	0	0	0	42	324	386	280	83	53
"ANKS1A"	6498	202152	8886	1760	4903	3983	905	855	5545	1922	3439	2490	1026	1082	1357	1058	1626	1168
"ANKS1B"	4457	1249363	0	0	0	0	0	0	8	0	0	0	610	726	0	0	0	0
"ANKS3"	3113	31568	243	2	122	121	0	2	271	271	183	95	72	57	128	62	144	85
"ANKS4B"	2908	18736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANKS6"	7161	64504	33	0	16	17	0	0	120	9	0	0	123	127	313	100	292	214
"ANKZF1"	3390	4689	503	83	270	233	34	49	235	88	103	27	658	451	761	320	1152	419
"ANLN"	4792	63968	2	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0
"ANO1"	4831	111243	0	0	0	0	0	0	592	162	0	0	0	0	0	0	0	0
"ANO10"	2749	255743	753	248	451	302	147	101	942	423	29	257	618	763	653	551	916	535
"ANO2"	3743	383583	0	0	0	0	0	0	58	14	0	0	0	0	0	0	0	0
"ANO3"	5962	331159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANO4"	4253	334047	0	0	0	0	0	0	10	13	0	0	539	557	0	0	0	0
"ANO5"	6683	90193	0	87	0	0	69	18	0	46	0	0	0	17	3	56	0	3
"ANO6"	6124	216362	8561	2352	4811	3750	1266	1086	5539	2208	2367	1210	5053	5935	6569	5881	6755	4266
"ANO7"	4153	36869	152	0	83	69	0	0	343	90	56	0	48	36	73	49	114	56
"ANO8"	4728	11608	380	93	221	159	48	45	197	129	286	100	921	1081	586	545	807	641
"ANO9"	2977	24083	36	0	17	19	0	0	226	110	0	79	0	14	14	7	65	14
"ANP32A"	2471	42386	10033	5191	5593	4440	2800	2391	4650	3171	9161	7184	2554	2526	4233	3341	4030	3053
"ANP32B"	1621	32735	1306	316	722	584	144	172	853	253	52	429	1768	1405	1406	1567	2609	1756
"ANP32C"	705	705	0	0	0	0	0	0	0	0	0	0	150	173	0	0	0	0
"ANP32D"	396	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANP32E"	3459	17788	68	147	35	33	87	60	50	60	0	0	990	1455	797	938	844	680
"ANPEP"	3670	29947	11656	7834	6364	5292	4139	3695	2896	3867	8587	10831	17871	15444	19752	19393	18933	12483
"ANTXR1"	5909	236183	0	0	0	0	0	0	25	8	0	0	0	0	0	0	0	0
"ANTXR2"	8057	171706	16517	7561	9240	7277	4239	3322	9487	4757	4619	5404	5253	5881	4559	3998	5884	4249
"ANTXRL"	2150	43214	0	0	0	0	0	0	261	91	0	0	0	0	0	0	0	0
"ANUBL1"	3812	57213	0	0	0	0	0	0	47	0	12	10	82	83	90	37	102	13
"ANX2P2"	1351	1351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANXA1"	2219	12739	3238	1934	1885	1353	1111	823	1437	873	753	455	12955	13371	9324	8009	12100	8426
"ANXA10"	1438	95186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANXA11"	3089	49369	41970	11695	23173	18797	6533	5162	14485	4385	29684	14158	16727	13994	19140	13595	22593	16953
"ANXA13"	1604	56614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANXA2"	1672	50836	17529	25690	9803	7726	13729	11961	6334	14554	9940	27869	31841	39322	43721	48616	58189	47820
"ANXA3"	1770	58862	0	0	0	0	0	0	0	0	0	0	2	3	12	11	3	0
"ANXA4"	2188	84469	5678	2192	3209	2469	1221	971	2411	863	1749	638	2391	2080	3471	3225	3310	2342
"ANXA5"	1674	28996	5608	15257	2979	2629	7370	7887	1424	4830	1169	7688	15526	18399	13959	15143	14267	10467
"ANXA6"	2941	57101	1602	441	1005	597	232	209	1111	358	361	391	2040	2069	3880	2994	3742	2515
"ANXA7"	2218	38654	784	2662	421	363	1437	1225	528	1103	180	2676	2391	4111	2941	2769	3873	2239
"ANXA8"	2165	16143	0	0	0	0	0	0	558	163	0	0	0	0	0	0	0	0
"ANXA8L1"	2165	16138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
